Food_Item_ID,foodcode,modcode,foodname,portionwgt,Portion_Factor,portiondesc,_203 Protein (g),_204 Total Fat (g),_205 Carbohydrate (g),"_269 Sugars, total (g)","_291 Fiber, total dietary (g)","_606 Fatty acids, total saturated (g)",_301 Calcium (mg),_307 Sodium (mg)
95,11522000,205085,"Malted milk, natural flavor, with whole milk",235.00,2.35,cup,9.47,8.81,23.64,19.79,0.00,4.92,300.80,169.20
96,11525000,206681,"Malted milk, fortified, natural flavor, with whole milk",235.00,2.35,cup,8.58,7.29,25.94,22.72,0.47,4.16,314.90,211.50
97,11525000,206746,"Malted milk, fortified, natural flavor, with 2% milk",235.00,2.35,cup,8.88,4.54,25.94,22.75,0.47,2.85,329.00,220.90
98,11525000,206771,"Malted milk, fortified, natural flavor, with skim milk",235.00,2.35,cup,9.05,0.42,26.25,22.77,0.47,0.25,333.70,209.15
99,11526000,201243,"Malted milk, fortified, chocolate, with skim milk",235.00,2.35,cup,8.20,0.80,26.44,24.11,0.94,0.49,345.45,202.10
100,11526000,201914,"Malted milk, fortified, chocolate, with whole milk",235.00,2.35,cup,7.73,7.66,26.13,24.06,0.94,4.40,326.65,204.45
101,11526000,202280,"Malted milk, fortified, chocolate, with 2% milk",235.00,2.35,cup,8.06,4.91,26.13,24.09,0.94,3.09,343.10,211.50
102,11526000,202663,"Malted milk, fortified, chocolate, with 1% milk",235.00,2.35,cup,8.20,2.73,26.56,24.39,0.94,1.73,352.50,206.80
103,11531000,000000,"Eggnog, with whole milk",254.00,2.54,cup,11.56,10.64,20.45,20.45,0.00,6.58,330.20,137.16
104,11531500,000000,"Eggnog, with 2% milk ",254.00,2.54,cup,12.04,8.05,16.54,16.81,0.00,3.89,269.24,154.94
105,11541110,000000,"Milk shake,  fountain-type, chocolate, with whole milk",283.00,2.83,milkshake (10 fl oz),8.89,14.01,60.68,51.39,2.26,8.35,268.85,161.31
106,11541110,100566,"Milk shake,  fountain-type, chocolate, with 2% milk",283.00,2.83,milkshake (10 fl oz),9.14,12.00,60.68,51.39,2.26,7.38,280.17,166.97
107,11541110,205157,"Milk shake,  fountain-type, chocolate, with low fat milk",283.00,2.83,milkshake (10 fl oz),9.25,10.39,60.96,51.62,2.26,6.39,288.66,161.31
108,11541120,000000,"Milk shake,  fountain-type, vanilla or strawberry, with whole milk",283.00,2.83,milkshake (10 fl oz),7.58,13.27,60.70,38.35,0.85,7.94,274.51,138.67
