foodname,portiondesc,Protein,Total Fat,Carbohydrate,Total Sugar,Dietary Fiber,Saturated Fat,Calcium,Sodium
"Beef enchilada, chili gravy, rice, refried beans (frozen meal)",Banquet meal (11 oz),15.85,12.85,51.92,1.37,6.55,4.06,106.08,1326.00
Chicken enchilada (diet frozen meal),meal (8.5 oz),26.41,15.23,27.96,5.28,2.89,8.43,344.63,978.46
Sausage and french toast (frozen meal),meal (6.5 oz),21.22,20.64,34.59,10.14,1.29,6.24,143.52,829.84
Pancakes and sausage (frozen meal),meal (6 oz),15.06,23.29,47.12,16.34,1.02,6.04,81.60,975.80
Pancakes and sausage (frozen meal),Jimmy Dean Flapstick,4.43,6.85,13.86,4.80,0.30,1.78,24.00,287.00
Barley soup,cup,3.54,1.90,7.12,0.20,0.73,0.45,21.96,580.70
Beef noodle soup,cup,4.76,3.05,8.86,2.54,0.73,1.13,19.52,812.49
Beef rice soup,cup,9.57,2.68,24.29,1.61,1.45,1.34,31.33,814.58
"Beef noodle soup, home recipe",cup,17.49,5.76,11.22,1.42,0.98,1.69,34.16,792.97
Chicken noodle soup,cup,3.16,2.36,7.35,0.65,0.48,0.66,14.46,829.04
"Chicken noodle soup, canned, low sodium, ready-to-serve",cup,3.12,2.34,7.26,0.66,0.49,0.64,14.76,425.56
"Chicken noodle soup, home recipe",cup,13.69,4.39,11.88,2.27,0.96,0.76,26.51,790.48
"Chicken noodle soup, cream of",cup,7.18,4.70,13.33,6.91,0.49,2.08,156.80,882.00
"Chicken noodle soup, canned, reduced sodium, ready-to-serve",cup,7.83,3.19,9.14,0.81,1.90,0.94,26.18,442.66
Chicken rice soup,cup,2.22,1.88,13.98,0.29,1.21,0.45,53.02,783.25
"Chicken or turkey rice soup, home recipe",cup,12.36,3.79,13.07,1.96,0.69,0.61,23.10,753.06
"Chicken rice soup, canned, reduced sodium, prepared with water or ready-to-serve",cup,1.93,1.45,8.70,0.96,0.96,0.48,2.41,397.65
"Chicken rice soup, canned, reduced sodium, prepared with water or ready-to-serve",Campbell's can (16 oz),3.63,2.72,16.39,1.82,1.82,0.90,4.54,749.10
"Chicken rice soup, canned, reduced sodium, prepared with water or ready-to-serve",Healthy Choice can (15 oz),3.40,2.55,15.34,1.70,1.70,0.85,4.25,701.25
Matzo ball soup,cup,6.29,4.89,18.65,2.19,1.21,1.04,33.74,831.45
Chicken soup with dumplings and potatoes,cup,5.82,5.75,6.27,0.58,0.50,1.36,20.08,793.13
Chicken soup with dumplings,cup,5.54,5.45,5.95,0.55,0.48,1.29,19.28,751.92
Turkey noodle soup,cup,3.90,2.00,8.64,0.51,0.73,0.55,14.64,819.81
"Turkey noodle soup, home recipe",cup,21.08,2.98,8.20,1.68,1.22,0.96,31.72,924.72
"Soup, mostly noodles (Ramen, Cup Noodles)",cup,3.61,6.24,21.37,0.70,0.93,2.88,13.98,666.38
"Soup, mostly noodles, reduced fat, reduced sodium (Ramen)",cup,3.87,0.89,25.14,0.30,0.93,0.00,13.98,433.38
Won ton (wonton) soup,cup,5.01,0.63,12.65,0.82,0.48,0.15,12.05,978.46
"Noodle soup with vegetables, Asian style",cup,4.35,2.74,29.89,2.39,2.74,0.46,52.44,631.53
"Tortilla soup, Mexican style ",cup,11.64,18.29,17.98,5.06,1.44,6.58,196.79,667.17
"Quinoa, cooked (no fat or salt added)",cup,8.10,3.53,39.24,1.61,5.18,0.43,31.45,12.95
"Quinoa, cooked (no fat or salt added)","package (8.5 oz), precooked",10.51,4.58,50.90,2.09,6.72,0.55,40.80,16.80
"Calamondin, raw","fruit (1"" across)",0.15,0.06,2.53,2.01,0.34,0.01,7.03,0.38
"Grapefruit, raw","medium (approx 4"" across)",1.61,0.26,20.68,17.87,2.82,0.04,30.72,0.00
"Grapefruit, canned or frozen, unsweetened",cup,1.42,0.24,22.33,21.35,0.98,0.03,36.60,4.88
"Grapefruit, canned or frozen, in light syrup",cup,1.42,0.25,39.22,38.20,1.02,0.04,35.56,5.08
"Grapefruit and orange sections, raw",cup,1.67,0.24,21.03,17.40,3.69,0.03,52.08,0.00
"Grapefruit & orange sections, cooked, canned, or frozen, unsweetened",cup,1.29,0.17,16.30,13.44,2.93,0.02,43.92,2.44
"Grapefruit & orange sections, cooked, canned, or frozen, in light syrup",cup,1.50,0.23,38.99,36.45,2.54,0.03,53.34,2.54
"Kumquat, raw","fruit (1"" across)",0.36,0.16,3.02,1.78,1.24,0.02,11.78,1.90
"Kumquat, cooked or canned, in syrup","fruit (1"" across)",0.18,0.08,3.31,2.69,0.62,0.01,5.60,0.98
"Lemon, raw","fruit (2-1/8"" across)",0.64,0.17,5.41,1.45,1.62,0.02,15.08,1.16
"Lemon, raw","fruit (2-3/8"" across)",0.92,0.25,7.83,2.10,2.35,0.03,21.84,1.68
Lemon pie filling,cup,12.55,17.45,183.57,165.50,1.06,4.37,61.18,204.82
"Lime, raw","fruit (2"" across)",0.47,0.13,7.06,1.13,1.88,0.01,22.11,1.34
"Lime, raw","lime, juiced",0.27,0.08,4.01,0.64,1.06,0.01,12.54,0.76
"Orange, raw","medium (2-5/8"" across)",1.23,0.16,15.39,12.25,3.14,0.02,52.40,0.00
"Orange, sections, canned, juice pack",cup,1.73,0.27,23.46,18.67,3.47,0.03,61.20,2.04
Orange peel,tablespoon,0.09,0.02,0.96,0.25,0.64,0.00,8.04,0.36
"Orange, mandarin, canned or frozen, juice pack",cup,1.54,0.07,23.83,22.09,1.74,0.01,27.39,12.45
"Orange, mandarin, canned or frozen, juice pack",slice,0.04,0.00,0.58,0.54,0.04,0.00,0.67,0.30
"Orange, mandarin, canned or frozen, in light syrup",cup,1.13,0.25,40.80,39.03,1.76,0.03,17.64,15.12
"Orange, mandarin, canned or frozen, drained",cup,1.42,0.08,17.78,15.59,2.27,0.01,22.68,9.45
"Orange, mandarin, canned or frozen, drained",portion (10 sections),0.35,0.02,4.33,3.80,0.55,0.00,5.52,2.30
"Tangelo, raw","medium (2-1/2"" across)",0.89,0.11,11.16,8.88,2.28,0.01,38.00,0.00
"Tangerine, raw","medium (2-3/8"" across)",0.68,0.26,11.21,8.89,1.51,0.03,31.08,1.68
"Tangerine, raw",clementine,0.61,0.23,10.01,7.94,1.35,0.03,27.75,1.50
"Grapefruit juice, freshly squeezed",cup,1.24,0.25,22.72,22.48,0.25,0.03,22.23,2.47
"Grapefruit juice, freshly squeezed","grapefruit, juiced",0.98,0.20,18.03,17.84,0.20,0.03,17.64,1.96
"Grapefruit juice, canned, bottled or in a carton",cup,1.28,0.25,22.13,21.88,0.25,0.03,17.29,2.47
"Grapefruit juice, frozen (reconstituted with water)",cup,1.36,0.32,23.86,23.59,0.25,0.04,24.70,9.88
"Lemon juice, freshly squeezed",cup,0.85,0.59,16.84,6.15,0.73,0.10,14.64,2.44
"Lemon juice, freshly squeezed","lemon, juiced",0.16,0.11,3.24,1.18,0.14,0.02,2.82,0.47
"Lemon juice, freshly squeezed","wedge, juiced",0.02,0.01,0.41,0.15,0.02,0.00,0.35,0.06
"Lemon juice, canned or bottled",cup,0.98,0.71,15.81,5.86,0.98,0.09,26.84,51.24
"Lemon juice, frozen",cup,1.12,0.78,15.86,5.86,0.98,0.10,19.52,2.44
"Lime juice, freshly squeezed",cup,1.02,0.17,20.38,4.09,0.97,0.02,33.88,4.84
"Lime juice, freshly squeezed","juice of 1 lime (2"" across)",0.18,0.03,3.70,0.74,0.18,0.00,6.16,0.88
"Lime juice, freshly squeezed",juice of 1 wedge or slice,0.02,0.00,0.42,0.08,0.02,0.00,0.70,0.10
"Lime juice, canned or bottled",cup,0.61,0.57,16.46,3.37,0.98,0.06,29.52,39.36
"Lime juice, frozen",cup,1.01,0.17,20.21,4.06,0.96,0.02,33.60,4.80
"Orange juice, freshly squeezed",cup,1.74,0.50,25.79,20.83,0.50,0.06,27.28,2.48
"Orange juice, freshly squeezed","orange, juiced",0.60,0.17,8.94,7.22,0.17,0.02,9.46,0.86
"Orange juice, carton, can, or bottle",cup,1.69,0.30,28.73,20.69,0.75,0.03,27.39,4.98
"Orange juice, carton, can, or bottle",McDonald's carton,1.22,0.22,20.77,14.96,0.54,0.03,19.80,3.60
"Orange juice, carton, can, or bottle",juice box or pouch (6.75 fl oz),1.43,0.25,24.23,17.45,0.63,0.03,23.10,4.20
"Orange juice, calcium added, carton, can, or bottle",cup,1.69,0.30,27.95,20.61,0.74,0.03,347.20,4.96
"Orange juice, frozen (reconstituted with water)",cup,1.69,0.15,27.14,26.57,0.50,0.02,27.39,9.96
"Orange juice, frozen, not reconstituted",cup,6.79,0.60,108.40,106.13,2.27,0.07,90.88,8.52
"Orange juice, frozen, calcium added (reconstituted with water)",cup,1.69,0.30,28.06,20.69,0.75,0.03,348.60,4.98
"Tangerine juice, canned",cup,1.24,0.49,24.95,24.45,0.49,0.06,44.46,2.47
"Tangerine juice, frozen (reconstituted with water)",cup,1.24,0.50,25.05,24.55,0.50,0.06,44.64,2.48
"Fruit juice blend, including citrus, 100% juice",cup,1.03,0.20,30.50,26.43,0.50,0.03,20.00,10.00
"Fruit juice blend, including citrus, 100% juice",juice box or pouch (6.75 fl oz),0.87,0.17,25.74,22.30,0.42,0.02,16.88,8.44
"Fruit juice blend, including citrus, 100% juice, with calcium added",cup,1.70,0.30,28.18,20.78,0.75,0.04,350.00,5.00
"Fruit mix, dried (apples, apricots, dates, papaya, peaches, pears, pineapples, prunes, raisins)",cup,2.98,0.58,88.14,64.82,10.06,0.08,54.40,23.12
"Apple, dried, uncooked",cup,0.80,0.28,56.67,49.18,7.48,0.04,12.04,74.82
"Apple, dried, uncooked",ring,0.06,0.02,4.22,3.66,0.56,0.00,0.90,5.57
"Apple, dried, uncooked, low sodium",cup,0.79,0.27,56.01,48.61,7.39,0.04,11.90,73.95
"Apple, dried, cooked, unsweetened",cup,0.56,0.18,39.06,33.96,5.10,0.03,7.65,51.00
"Apple, dried, cooked, with sugar",cup,0.56,0.17,64.65,59.50,5.04,0.03,8.40,50.40
Apple chips,cup (about 13 chips),0.29,6.06,20.64,17.90,2.74,0.46,3.92,27.44
"Apricot, dried, uncooked",apricot half,0.12,0.02,2.19,1.87,0.26,0.00,1.93,0.35
"Apricot, dried, cooked, unsweetened",apricot half,0.07,0.01,1.37,1.21,0.16,0.00,1.18,0.25
"Apricot, dried, cooked, with sugar",apricot half,0.07,0.01,1.82,1.67,0.15,0.00,1.05,0.25
"Banana flakes, dehydrated",cup,3.89,1.81,88.28,47.30,9.90,0.70,22.00,3.00
Banana chips,cup (about 51 chips),1.66,24.19,42.05,25.44,5.54,20.86,12.96,4.32
"Currant, dried",cup,5.87,0.39,106.67,96.88,9.79,0.04,123.83,11.52
"Cranberries, dried",cup,0.08,1.51,90.60,71.50,6.27,0.11,11.00,3.30
Date,"cup, pitted, chopped",3.60,0.57,110.29,93.12,11.76,0.05,57.33,2.94
"Fig, dried, uncooked",cup,4.92,1.39,95.17,71.40,14.60,0.21,241.38,14.90
"Fig, dried, cooked, unsweetened",cup,3.68,1.04,71.40,60.47,10.88,0.16,181.29,10.36
"Fig, dried, cooked, with sugar",cup,3.51,0.97,91.64,81.22,10.26,0.15,172.80,10.80
"Lychee, dried (lychee nuts)",lychee nut,0.09,0.03,1.77,1.65,0.11,0.01,0.83,0.08
"Mango, dried",cup,2.40,1.11,76.50,72.57,4.65,0.27,32.32,3.03
"Mango, dried","strip (3-1/4"" x 7/8"" x 1/8"")",0.12,0.06,3.79,3.59,0.23,0.01,1.60,0.15
"Papaya, dried",strip,0.72,0.40,16.48,11.91,2.60,0.12,30.36,12.19
"Peach, dried, uncooked",cup,5.78,1.22,98.13,66.78,13.12,0.13,44.80,11.20
"Peach, dried, uncooked",peach half,0.47,0.10,7.97,5.43,1.07,0.01,3.64,0.91
"Peach, dried, cooked, unsweetened",cup,2.99,0.65,50.80,43.83,6.97,0.07,23.22,5.16
"Peach, dried, cooked, with sugar",cup,2.84,0.62,73.06,66.39,6.75,0.06,21.60,5.40
"Pear, dried, uncooked",cup,3.37,1.13,125.46,111.96,13.50,0.06,61.20,10.80
"Pear, dried, uncooked",pear half,0.34,0.11,12.55,11.20,1.35,0.01,6.12,1.08
"Pear, dried, cooked, unsweetened",cup,2.32,0.79,86.21,69.89,16.32,0.04,40.80,7.65
"Pear, dried, cooked, with sugar",cup,2.32,0.78,111.66,95.34,16.24,0.04,42.00,8.40
"Pineapple, dried",piece,0.77,0.17,18.74,14.07,1.99,0.01,18.48,1.40
"Plum, dried, salted (crack seed)",cup,3.48,0.60,101.87,60.81,11.32,0.14,71.34,3948.30
"Plum, dried, salted (crack seed)",plum,0.08,0.01,2.48,1.48,0.28,0.00,1.74,96.30
"Prune, dried, uncooked","cup, pitted",3.79,0.66,111.15,66.35,12.35,0.15,74.82,3.48
"Prune, dried, uncooked","cup, with pits",3.51,0.61,102.85,61.39,11.43,0.14,69.23,3.22
"Prune, dried, uncooked",prune,0.21,0.04,6.07,3.62,0.67,0.01,4.09,0.19
"Prune, dried, cooked, unsweetened","cup, pitted",2.38,0.40,69.64,61.95,7.69,0.02,47.12,2.48
"Prune, dried, cooked, unsweetened","cup, with pits",2.04,0.34,59.53,52.96,6.57,0.02,40.28,2.12
"Prune, dried, cooked, unsweetened",prune,0.10,0.02,2.81,2.50,0.31,0.00,1.90,0.10
"Prune, dried, cooked, with sugar","cup, pitted",2.42,0.39,96.41,88.51,7.78,0.03,47.26,2.78
"Prune, dried, cooked, with sugar","cup, with pits",2.07,0.33,82.53,75.78,6.66,0.02,40.46,2.38
"Prune, dried, cooked, with sugar",prune,0.09,0.01,3.47,3.18,0.28,0.00,1.70,0.10
Raisin,cup,4.45,0.67,114.80,85.82,5.36,0.08,72.50,15.95
Raisin,tablespoon,0.28,0.04,7.20,5.38,0.34,0.01,4.55,1.00
"Raisin, cooked",cup,4.22,0.62,169.27,141.72,5.02,0.08,73.75,23.60
"Raisin, cooked",tablespoon,0.26,0.04,10.56,8.84,0.31,0.00,4.60,1.47
"Tamarind pulp, dried, sweetened ","cup, pieces, without seeds",5.54,1.19,145.75,135.61,10.12,0.54,147.40,55.00
"Tamarind pulp, dried, sweetened ","piece, without seeds",0.55,0.12,14.58,13.56,1.01,0.05,14.74,5.50
"Apple, raw","medium (2-3/4"" across)",0.36,0.23,19.06,14.34,3.31,0.04,8.28,1.38
"Apple, stewed, unsweetened","cup, sauce",0.41,0.24,27.50,22.91,2.68,0.02,9.76,4.88
"Apple, stewed, unsweetened","cup, sliced stewed apples",0.29,0.17,19.27,16.06,1.88,0.01,6.84,3.42
"Apple, stewed, with sugar","cup, sauce",0.41,0.43,44.60,37.41,3.06,0.08,7.65,5.10
"Apple, stewed, with sugar","cup, sliced stewed apples",0.33,0.35,35.68,29.93,2.45,0.06,6.12,4.08
"Apple, stewed, with low calorie sweetener",cup,0.41,0.24,27.50,22.91,2.68,0.02,9.76,4.88
"Applesauce, with strawberry",cup,0.51,0.46,47.00,39.91,3.07,0.07,10.24,5.12
"Apple, cooked or canned, with syrup","cup, slices",0.37,0.88,34.35,30.27,4.08,0.14,8.16,6.12
"Apple, cooked or canned, with syrup",slice with syrup,0.04,0.09,3.37,2.97,0.40,0.01,0.80,0.60
"Apple, baked, unsweetened",cup,0.52,0.34,27.77,20.89,4.86,0.06,11.22,1.87
"Apple, baked, with sugar",cup,0.47,0.30,47.10,40.83,4.37,0.05,11.40,1.90
"Apple rings, fried",ring,0.05,1.01,3.68,3.00,0.46,0.19,1.14,9.31
"Apple, pickled",slice,0.03,0.02,6.10,5.63,0.30,0.00,1.14,0.38
"Apple, fried, with margarine",medium  ,0.29,6.93,28.18,24.38,2.57,1.30,7.02,64.34
"Apple, fried, with butter",medium  ,0.35,6.99,28.12,24.38,2.60,4.34,8.33,49.56
"Apple, fried, with vegetable oil",medium  ,0.28,8.27,28.18,24.44,2.61,1.09,6.34,1.24
"Apricot, raw",apricot,0.49,0.14,3.89,3.23,0.70,0.01,4.55,0.35
"Apricot, cooked or canned, unsweetened",apricot half with liquid,0.26,0.06,2.30,1.72,0.58,0.00,2.88,1.08
"Apricot, cooked or canned, in heavy syrup",apricot half with liquid,0.21,0.03,8.59,7.95,0.64,0.00,3.60,1.60
"Apricot, cooked or canned, in light syrup",apricot half with liquid,0.21,0.02,6.60,5.96,0.64,0.00,4.40,1.60
"Apricot, cooked or canned, drained solids",apricot half,0.12,0.02,3.84,3.36,0.49,0.00,1.80,0.72
"Apricot, cooked or canned, juice pack",apricot half with liquid,0.23,0.01,4.44,3.87,0.58,0.00,4.32,1.44
"Avocado, raw",California avocado (black skin),2.72,19.94,11.60,0.90,9.11,2.89,16.32,9.52
"Avocado, raw",Florida avocado (green skin),6.08,44.57,25.93,2.01,20.37,6.46,36.48,21.28
"Avocado, raw",slice,0.20,1.47,0.85,0.07,0.67,0.21,1.20,0.70
"Banana, raw","medium (7"" to 7-7/8"" long)",1.29,0.39,26.95,14.43,3.07,0.13,5.90,1.18
"Banana, Chinese, raw","medium (5-1/4"" long)",0.69,0.21,14.39,7.70,1.64,0.07,3.15,0.63
"Banana, baked","banana (7-1/4"" long)",1.56,0.49,41.66,26.23,3.71,0.16,7.68,1.28
"Banana, ripe, fried, with vegetable oil",medium,1.04,5.83,21.83,11.69,2.46,0.83,4.55,0.91
"Banana, ripe, fried, with butter",medium,1.09,4.97,21.79,11.67,2.46,3.05,5.46,38.22
"Banana, ripe, boiled",medium,0.99,0.30,20.78,11.13,2.37,0.10,4.55,0.91
"Banana, batter-dipped, fried",medium,3.75,19.05,39.68,11.63,3.13,2.67,10.88,129.20
"Cantaloupe, raw","cup, balls",1.49,0.34,14.44,13.91,1.59,0.09,15.93,28.32
"Cantaloupe, frozen (balls)",cup,1.45,0.33,14.12,13.60,1.56,0.09,15.57,27.68
"Carambola (starfruit), raw","cup, sliced",1.12,0.36,7.27,4.30,3.02,0.02,3.24,2.16
"Carambola (starfruit), cooked, with sugar",cup,2.28,0.72,24.27,18.26,6.15,0.04,6.15,4.10
"Cassaba melon, raw",cup,1.89,0.17,11.19,9.67,1.53,0.04,18.70,15.30
"Cherries, maraschino",cup,0.35,0.34,67.57,62.42,5.15,0.06,86.94,6.44
"Cherries, sour, red, raw","cup, pitted",1.55,0.47,18.88,13.16,2.48,0.11,24.80,4.65
"Cherries, sour, red, raw","cup, with pits",1.03,0.31,12.55,8.74,1.65,0.07,16.48,3.09
Cherry pie filling,cup,1.58,2.24,75.66,65.89,2.38,0.43,23.76,137.28
"Cherry pie filling, low calorie",cup,2.16,0.42,31.63,24.16,3.17,0.00,29.04,31.68
"Cherries, sour, red, cooked, unsweetened","cup, pitted",1.88,0.24,21.81,18.54,2.68,0.06,26.84,17.08
"Cherries, sweet, raw (Queen Anne, Bing)","cup, pitted",1.63,0.31,24.66,19.74,3.23,0.06,20.02,0.00
"Cherries, sweet, raw (Queen Anne, Bing)","cup, with pits",1.46,0.28,22.09,17.69,2.90,0.05,17.94,0.00
"Cherries, sweet, raw (Queen Anne, Bing)",cherry,0.09,0.02,1.31,1.05,0.17,0.00,1.07,0.00
"Cherries, sweet, cooked, unsweetened","cup, pitted",1.91,0.32,29.16,25.44,3.72,0.07,27.28,2.48
"Cherries, sweet, cooked, unsweetened","cup, with pits",1.85,0.31,28.22,24.62,3.60,0.07,26.40,2.40
"Cherries, sweet, cooked, unsweetened",cherry,0.07,0.01,1.06,0.92,0.14,0.00,0.99,0.09
"Cherries, sweet, cooked or canned, in heavy syrup","cup, pitted",1.52,0.38,53.81,40.93,3.54,0.09,22.77,7.59
"Cherries, sweet, cooked or canned, in heavy syrup","cup, with pits",1.44,0.36,51.05,38.83,3.36,0.08,21.60,7.20
"Cherries, sweet, cooked or canned, in heavy syrup",cherry,0.05,0.01,1.91,1.46,0.13,0.00,0.81,0.27
"Cherries, sweet, cooked or canned, in light syrup","cup, pitted",1.54,0.38,43.57,39.79,3.78,0.09,22.68,7.56
"Cherries, sweet, cooked or canned, in light syrup","cup, with pits",1.46,0.36,41.49,37.89,3.60,0.08,21.60,7.20
"Cherries, sweet, cooked or canned, in light syrup",cherry,0.05,0.01,1.56,1.42,0.14,0.00,0.81,0.27
"Cherries, sweet, cooked or canned, drained solids","cup, pitted",1.31,0.38,37.72,28.96,4.12,0.07,17.90,5.37
"Cherries, sweet, cooked or canned, drained solids","cup, with pits",1.34,0.39,38.77,29.77,4.23,0.08,18.40,5.52
"Cherries, sweet, cooked or canned, drained solids",cherry,0.05,0.01,1.31,1.00,0.14,0.00,0.62,0.19
"Cherries, sweet, cooked or canned, juice pack","cup, pitted",2.28,0.05,34.53,30.78,3.75,0.01,35.00,7.50
"Cherries, sweet, cooked or canned, juice pack","cup, with pits",2.18,0.05,33.14,29.54,3.60,0.01,33.60,7.20
"Cherries, sweet, cooked or canned, juice pack",cherry,0.08,0.00,1.24,1.11,0.14,0.00,1.26,0.27
"Cherries, frozen",cup,1.43,0.68,17.08,13.98,2.48,0.16,20.15,1.55
"Currant, raw",cup,1.57,0.22,15.46,8.25,4.82,0.02,36.96,1.12
"Fig, raw","medium (2-1/4"" across)",0.38,0.15,9.59,8.13,1.45,0.03,17.50,0.50
"Fig, cooked or canned, unsweetened",fig with liquid,0.11,0.03,3.78,3.18,0.59,0.01,7.56,0.27
"Fig, cooked or canned, in heavy syrup",fig with liquid,0.11,0.03,6.41,5.80,0.62,0.01,7.56,0.28
"Fig, cooked or canned, in light syrup",fig with liquid,0.11,0.03,5.03,4.52,0.50,0.01,7.56,0.28
"Grape, raw","cup, seedless",1.09,0.24,27.33,23.37,1.36,0.08,15.10,3.02
"Grape, raw","cup, with seeds",1.11,0.25,27.87,23.84,1.39,0.08,15.40,3.08
"Grape, cooked or canned, unsweetened",cup,1.23,0.27,25.24,23.76,1.47,0.09,24.50,14.70
"Grape, cooked or canned, in heavy syrup",cup,1.23,0.26,50.30,48.77,1.54,0.08,25.60,12.80
"Guava, raw",cup common guava,4.21,1.57,23.63,14.72,8.91,0.45,29.70,3.30
"Guava, raw",cup strawberry guava,6.22,2.32,34.94,21.76,13.18,0.66,43.92,4.88
"Guava, raw",common guava,1.40,0.52,7.88,4.91,2.97,0.15,9.90,1.10
"Guava, raw",strawberry guava,0.15,0.06,0.86,0.54,0.32,0.02,1.08,0.12
"Guava shell, canned in heavy syrup",cup,5.61,2.11,80.07,68.11,11.78,0.60,40.30,6.20
"Juneberries, raw",cup,1.22,0.54,23.91,16.43,3.96,0.05,9.90,1.65
"Kiwi fruit, raw",cup,2.02,0.92,25.95,15.91,5.31,0.05,60.18,5.31
"Kiwi fruit, raw",kiwi,0.87,0.40,11.14,6.83,2.28,0.02,25.84,2.28
"Lychee, raw",cup,1.58,0.84,31.41,28.94,2.47,0.19,9.50,1.90
"Lychee, raw",lychee,0.08,0.04,1.59,1.46,0.12,0.01,0.48,0.10
"Lychee, cooked or canned, in sugar or syrup",cup,1.41,0.75,60.41,58.18,2.26,0.17,10.04,2.51
"Lychee, cooked or canned, in sugar or syrup",lychee with liquid,0.12,0.06,5.05,4.87,0.19,0.01,0.84,0.21
"Honeydew melon, raw",inch cube,0.09,0.02,1.55,1.38,0.14,0.01,1.02,3.06
"Honeydew melon, raw",ball,0.07,0.02,1.25,1.12,0.11,0.01,0.83,2.48
"Honeydew melon, raw","medium (5-1/4"" across)",5.40,1.40,90.90,81.20,8.00,0.38,60.00,180.00
"Honeydew melon, raw",wedge (approx 1/16 of melon),0.33,0.09,5.64,5.03,0.50,0.02,3.72,11.16
"Honeydew, frozen (balls)",cup,1.24,0.32,20.91,18.67,1.84,0.09,13.80,41.40
"Honeydew, frozen (balls)",ball,0.07,0.02,1.23,1.10,0.11,0.01,0.81,2.43
"Mango, raw",mango,1.70,0.79,31.01,28.27,3.31,0.19,22.77,2.07
"Mango, pickled",tablespoon,0.08,0.04,4.61,4.46,0.15,0.01,1.26,0.28
"Mango, pickled",slice,0.16,0.07,9.21,8.92,0.31,0.02,2.52,0.56
"Mango, cooked",ounce(s),0.23,0.11,4.25,3.88,0.45,0.03,2.84,0.28
"Nectarine, raw","nectarine (2-1/2"" across)",1.44,0.44,14.35,10.73,2.31,0.03,8.16,0.00
"Nectarine, cooked",cup,1.97,0.60,60.65,55.65,3.14,0.05,13.10,2.62
"Papaya, raw","cup, cubes",0.66,0.36,15.15,10.95,2.38,0.11,28.00,11.20
"Papaya, raw","medium (5-1/8"" long x 3"" across)",1.43,0.79,32.89,23.77,5.17,0.25,60.80,24.32
"Papaya, raw",slice,0.18,0.10,4.11,2.97,0.65,0.03,7.60,3.04
"Papaya, green, cooked",cup,0.44,0.24,9.99,7.22,1.58,0.08,18.48,7.92
"Papaya, cooked or canned, in sugar or syrup",cup,0.42,0.22,26.73,24.04,1.45,0.07,17.16,7.92
"Passion fruit, raw",passion fruit,0.40,0.13,4.21,2.02,1.87,0.01,2.16,5.04
"Peach, raw","medium (2-2/3"" across)",1.37,0.38,14.31,12.59,2.25,0.03,9.00,0.00
"Peach, cooked or canned, unsweetened",cup,1.07,0.15,14.91,11.74,3.17,0.01,4.88,7.32
"Peach, cooked or canned, unsweetened",half with liquid,0.43,0.06,5.99,4.71,1.27,0.01,1.96,2.94
"Peach, cooked or canned, in heavy syrup",half with liquid,0.44,0.10,19.54,18.27,1.27,0.01,2.94,5.88
"Peach, cooked or canned, in light or medium syrup",half with liquid,0.44,0.03,14.26,12.99,1.27,0.00,2.94,4.90
"Peach, cooked or canned, drained solids",half,0.38,0.13,13.45,10.70,0.88,0.01,2.19,4.38
"Peach, cooked or canned, juice pack",half with liquid,0.62,0.03,11.34,10.06,1.27,0.00,5.88,3.92
"Peach, frozen, unsweetened",half,0.49,0.14,5.15,4.53,0.81,0.01,3.24,0.00
"Peach, frozen, with sugar",half,0.34,0.07,12.95,11.98,0.97,0.01,1.62,3.24
"Peach, pickled",peach,0.55,0.15,25.70,24.89,0.88,0.01,5.28,0.88
"Pear, raw",medium (2-21/2 per pound),0.60,0.23,25.28,16.18,5.15,0.04,14.94,1.66
"Pear, Japanese, raw",pear,1.38,0.63,29.29,19.39,9.90,0.03,11.00,0.00
"Pear, cooked or canned, unsweetened",half with liquid,0.14,0.02,5.94,4.64,1.22,0.00,3.04,1.52
"Pear, cooked or canned, in heavy syrup",half with liquid,0.15,0.10,14.57,11.55,1.22,0.01,3.80,3.80
"Pear, cooked or canned, in light syrup",half with liquid,0.14,0.02,11.53,9.20,1.22,0.00,3.80,3.80
"Pear, cooked or canned, drained solids",half,0.12,0.09,9.16,7.88,1.30,0.00,2.88,2.40
"Pear, cooked or canned, juice pack",half with liquid,0.26,0.05,9.83,7.37,1.22,0.00,6.84,3.04
"Persimmon, raw","persimmon (2-1/2"" across x 3-1/2"" high)",0.97,0.32,31.23,21.05,6.05,0.03,13.44,1.68
"Pineapple, raw","cup, chunks",0.89,0.20,21.65,16.25,2.31,0.01,21.45,1.65
"Pineapple, raw","cup, diced",0.84,0.19,20.34,15.27,2.17,0.01,20.15,1.55
"Pineapple, raw",pineapple,4.89,1.09,118.73,89.14,12.67,0.08,117.65,9.05
"Pineapple, cooked or canned, unsweetened","cup, crushed, sliced, or chunks",1.06,0.22,20.42,18.45,1.97,0.01,36.90,2.46
"Pineapple, cooked or canned, unsweetened",chunk with liquid,0.04,0.01,0.78,0.71,0.08,0.00,1.41,0.09
"Pineapple, cooked or canned, unsweetened",slice or ring with liquid,0.20,0.04,3.90,3.53,0.38,0.00,7.05,0.47
"Pineapple, cooked or canned, in heavy syrup","cup, crushed, sliced, or chunks",0.89,0.28,51.31,42.93,2.03,0.02,35.56,2.54
"Pineapple, cooked or canned, in heavy syrup",chunk with liquid,0.03,0.01,1.90,1.59,0.08,0.00,1.32,0.09
