foodname,portiondesc,Protein,Total Fat,Carbohydrate,Total Sugar,Dietary Fiber,Saturated Fat,Calcium,Sodium
"Milk shake,  fountain-type, vanilla or strawberry, with low fat milk",milkshake (10 fl oz),7.81,11.29,60.70,38.37,0.85,7.00,283.00,144.33
"Milk shake,  fountain-type, vanilla or strawberry, with skim milk",milkshake (10 fl oz),7.92,8.35,60.85,38.37,0.85,5.13,288.66,135.84
"Milk shake, with malt, with whole milk",milkshake (10 fl oz),9.65,14.35,61.50,56.06,0.57,8.45,311.30,192.44
"Milk shake, with malt, with 1% milk",milkshake (10 fl oz),9.99,10.95,61.78,56.29,0.57,6.62,331.11,192.44
"Milk shake, fast food or carry-out, chocolate",medium shake (20 fl oz),16.15,17.58,97.38,88.35,9.02,10.99,536.75,460.75
"Milk shake, fast food or carry-out, chocolate",Roy Rogers shake,11.32,12.32,68.27,61.94,6.33,7.70,376.29,323.01
"Milk shake, fast food or carry-out, chocolate",medium Burger King shake,13.50,14.69,81.39,73.84,7.54,9.18,448.61,385.09
"Milk shake, fast food or carry-out, chocolate",medium Dairy Queen shake,18.33,19.94,110.49,100.25,10.24,12.47,609.06,522.82
"Milk shake, fast food or carry-out, chocolate",McDonald's child size shake (12 fl oz),9.59,10.43,57.81,52.45,5.36,6.52,318.65,273.53
"Milk shake, fast food or carry-out, chocolate",McDonald's medium shake (21 fl oz),16.80,18.28,101.27,91.88,9.39,11.43,558.22,479.18
"Milk shake, fast food or carry-out, chocolate",cup,6.39,6.96,38.54,34.97,3.57,4.35,212.43,182.35
"Milk shake, fast food or carry out, vanilla or strawberry",medium shake (20 fl oz),16.01,30.97,93.05,64.74,4.28,18.82,546.25,384.75
"Milk shake, fast food or carry out, vanilla or strawberry",Roy Rogers shake,11.22,21.71,65.23,45.39,3.00,13.19,382.95,269.73
"Milk shake, fast food or carry out, vanilla or strawberry",medium Burger King shake,13.38,25.88,77.77,54.11,3.57,15.73,456.55,321.57
"Milk shake, fast food or carry out, vanilla or strawberry",medium Dairy Queen shake,18.16,35.14,105.59,73.46,4.85,21.35,619.84,436.58
"Milk shake, fast food or carry out, vanilla or strawberry",McDonald's child size shake (12 fl oz),9.50,18.39,55.24,38.44,2.54,11.17,324.29,228.41
"Milk shake, fast food or carry out, vanilla or strawberry",McDonald's medium shake (21 fl oz),16.65,32.21,96.77,67.33,4.45,19.57,568.10,400.14
"Fruit smoothie, made with whole milk",cup,4.76,4.51,27.34,22.91,1.46,2.51,156.74,58.52
"Fruit smoothie, made with fat free (skim) milk",cup,5.06,0.31,27.50,22.93,1.46,0.12,167.19,56.43
"Fruit smoothie, made with reduced fat (2%) milk",cup,4.95,2.82,27.34,22.93,1.46,1.71,165.10,62.70
"Fruit smoothie, made with low fat (1%) milk",cup,5.06,1.48,27.59,23.09,1.46,0.88,171.37,58.52
Orange Julius,cup,14.12,0.37,38.83,35.24,0.26,0.19,471.60,199.12
"Fruit smoothie, made with yogurt and ice cream",cup,3.45,3.41,41.21,33.75,2.42,2.03,107.06,54.54
"Fruit smoothie, made with yogurt and ice cream",commercial smoothie (20 fl oz),8.65,8.55,103.22,84.55,6.07,5.07,268.17,136.62
Chocolate-flavored drink,cup (drink box),1.56,0.98,26.06,21.18,1.46,0.76,243.99,222.03
Chocolate-flavored drink,bottle (9 fl oz),1.75,1.10,29.26,23.78,1.64,0.85,274.00,249.34
Strawberry-flavored drink,cup,1.56,0.98,26.06,21.18,1.46,0.76,243.99,222.03
Strawberry-flavored drink,bottle (9 fl oz),1.75,1.10,29.26,23.78,1.64,0.85,274.00,249.34
"Cafe con leche, with whole milk",coffee cup (6 fl oz),3.15,3.15,4.64,4.86,0.00,1.80,110.19,43.70
Cafe con leche  with sugar,coffee cup (6 fl oz),2.94,2.94,16.64,16.85,0.00,1.68,104.49,39.90
Cafe con leche with sugar and 2% milk,coffee cup (6 fl oz),3.08,1.80,16.64,16.85,0.00,1.13,110.19,43.70
"Instant breakfast, canned",cup,13.65,4.70,32.33,32.85,0.25,2.73,352.50,222.50
"Instant breakfast, canned",can (10 fl oz),17.09,5.88,40.47,41.13,0.31,3.41,441.32,278.56
"Instant breakfast, powder, with 2% milk",cup,13.55,4.70,31.83,32.25,0.13,2.88,350.06,226.02
"Instant breakfast, powder, with whole milk ",cup,13.23,7.42,31.83,32.68,0.13,4.18,335.05,217.44
"Instant breakfast, powder, with skim milk",cup,13.68,0.62,32.10,32.25,0.13,0.30,354.17,214.90
"Instant breakfast, powder, with 1% milk",cup,13.70,2.54,32.23,32.55,0.13,1.54,360.79,219.58
